52,teluro,Te,a6 anfigeno,127.600,2 8 18. 18; 6.,[Kr]. 4d10. 5s2. 5p4,449.6,990
53,yodo,I,a7 halogeno,126.904,2 8 18. 18; 7.,[Kr]. 4d10. 5s2. 5p5,113.5,184.4
54,xenon,Xe,0 gas noble,131.290,2 8 18. 18; 8.,[Kr]. 4d10. 5s2. 5p6,-111.9,-107
55,cesio,Cs,a1 alcalino,132.905,2 8 18. 18; 8; 1.,[X e]. 6s1,28.4,690
56,bario,Ba,a2 alcalino-terreo,137.327,2 8 18. 18; 8; 2.,[X e]. 6s2,725,1640
57,lantano,La,b3 lantanido,138.906,2 8 18. 18; 9. 2;,[X e]. 6s2. 5d1,920,3454
58,cerio,Ce,b3 lantanido,140.116,2 8 18. 19. 9; 2;,[X e]. 6s2. 5d1. 4f1,798,3257
59,praseodimio,Pr,b3 lantanido,140.908,2 8 18. 21. 8; 2;,[X e]. 6s2. 4f3,931,3212
60,neodimio,Nd,b3 lantanido,144.240,2 8 18. 22. 8; 2;,[X e]. 6s2. 4f4,1010,3127
61,promecio,Pm,b3 lantanido,145.000,2 8 18. 23. 8; 2;,[X e]. 6s2. 4f5,1080,2730
62,samario,Sm,b3 lantanido,150.360,2 8 18. 24. 8; 2;,[X e]. 6s2. 4f6,1072,1778
63,europio,Eu,b3 lantanido,151.964,2 8 18. 25. 8; 2;,[X e]. 6s2. 4f7,822,1597
64,gadolinio,Gd,b3 lantanido,157.250,2 8 18. 25; 9. 2;,[X e]. 6s2. 4f7. 5d1,1311,3233
65,terbio,Tb,b3 lantanido,158.925,2 8 18. 27. 8; 2;,[X e]. 6s2. 4f9,1360,3041
66,disprosio,Dy,b3 lantanido,162.500,2 8 18. 28. 8; 2;,[X e]. 6s2. 4f10,1409,2335
67,holmio,Ho,b3 lantanido,164.930,2 8 18. 29. 8; 2;,[X e]. 6s2. 4f11,1470,2720
68,erbio,Er,b3 lantanido,167.260,2 8 18. 30. 8; 2;,[X e]. 6s2. 4f12,1522,2510
69,tulio,Tm,b3 lantanido,168.934,2 8 18. 31. 8; 2;,[X e]. 6s2. 4f13,1545,1727
70,yterbio,Yb,b3 lantanido,173.040,2 8 18 32. 8; 2;,[X e]. 6s2. 4f14,824,1193
71,lutecio,Lu,b3 lantanido,174.967,2 8 18 32. 9. 2;,[X e]. 6s2. 4f14. 5d1,1656,3315
72,hafnio,Hf,b4 metal de transicion,178.490,2 8 18 32. 10. 2;,[X e]. 6s2. 4f14. 5d2,2150,5400
73,tantalo,Ta,b5 metal de transicion,180.948,2 8 18 32. 11. 2;,[X e]. 6s2. 4f14. 5d3,2996,5425
74,wolframio,W,b6 metal de transicion,183.840,2 8 18 32. 12. 2;,[X e]. 6s2. 4f14. 5d4,3407,5927
75,renio,Re,b7 metal de transicion,186.207,2 8 18 32. 13. 2;,[X e]. 6s2. 4f14. 5d5,3180,5627
76,osmio,Os,b8 metal de transicion,190.230,2 8 18 32. 14. 2;,[X e]. 6s2. 4f14. 5d6,3045,5027
77,iridio,Ir,b8 metal de transicion,192.217,2 8 18 32. 15. 2;,[X e]. 6s2. 4f14. 5d7,2410,4130
78,platino,Pt,b8 metal de transicion,195.078,2 8 18 32. 17. 1;,[X e]. 6s1. 4f14. 5d9,1772,3827
79,oro,Au,b1 metal de transicion,196.967,2 8 18 32. 18. 1;,[X e]. 6s1. 4f14. 5d10,1064.4,2940
80,mercurio,Hg,b2 metal de transicion,200.590,2 8 18 32. 18; 2.,[X e]. 6s2. 4f14. 5d10,-38.9,356.6
81,talio,Tl,a3 terreo,204.383,2 8 18 32. 18; 3.,[X e]. 6s2. 4f14. 5d10. 6p1,303.6,1457
